dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000826,png,C,,flybase
110,7227,FBgn0000829,fs(1)M8,E,,flybase
110,7227,FBgn0000830,fs(1)M11,E,,flybase
110,7227,FBgn0000831,fs(1)M13,E,,flybase
110,7227,FBgn0000833,fs(1)M15,E,,flybase
110,7227,FBgn0000834,fs(1)M17,E,,flybase
110,7227,FBgn0000836,fs(1)M20,E,,flybase
110,7227,FBgn0000837,fs(1)M21,E,,flybase
110,7227,FBgn0000838,fs(1)M24,E,,flybase
110,7227,FBgn0000839,fs(1)M26,E,,flybase
110,7227,FBgn0000840,fs(1)M27,E,,flybase
110,7227,FBgn0000841,fs(1)M28,E,,flybase
110,7227,FBgn0000842,fs(1)M29,E,,flybase
110,7227,FBgn0000844,fs(1)M31,E,,flybase
110,7227,FBgn0000845,fs(1)M32,E,,flybase
110,7227,FBgn0000848,fs(1)M36,E,,flybase
110,7227,FBgn0000850,fs(1)M39,E,,flybase
110,7227,FBgn0000851,fs(1)M40,E,,flybase
110,7227,FBgn0000852,fs(1)M41,E,,flybase
110,7227,FBgn0000853,fs(1)M43,E,,flybase
110,7227,FBgn0000854,fs(1)M46,E,,flybase
110,7227,FBgn0000859,fs(1)M53,E,,flybase
110,7227,FBgn0000860,fs(1)M54,E,,flybase
110,7227,FBgn0000862,fs(1)M56,E,,flybase
110,7227,FBgn0000863,fs(1)M57,E,,flybase
110,7227,FBgn0000864,fs(1)M58,E,,flybase
110,7227,FBgn0000865,fs(1)M59,E,,flybase
110,7227,FBgn0000867,fs(1)M62,E,,flybase
110,7227,FBgn0000868,fs(1)M63,E,,flybase
110,7227,FBgn0000869,fs(1)M64,E,,flybase
110,7227,FBgn0000870,fs(1)M65,E,,flybase
110,7227,FBgn0000872,fs(1)M68,E,,flybase
110,7227,FBgn0000873,fs(1)M70,E,,flybase
110,7227,FBgn0000875,fs(1)M73,E,,flybase
110,7227,FBgn0000876,fs(1)M74,E,,flybase
110,7227,FBgn0000878,fs(1)M76,E,,flybase
110,7227,FBgn0000879,fs(1)M77,E,,flybase
110,7227,FBgn0000880,fs(1)M78,E,,flybase
110,7227,FBgn0000881,fs(1)M79,E,,flybase
110,7227,FBgn0000883,fs(1)M81,E,,flybase
110,7227,FBgn0000884,fs(1)M82,E,,flybase
110,7227,FBgn0000885,fs(1)M83,E,,flybase
110,7227,FBgn0000886,fs(1)M84,E,,flybase
110,7227,FBgn0000887,fs(1)M85,E,,flybase
110,7227,FBgn0000888,fs(1)M86,E,,flybase
110,7227,FBgn0000889,fs(1)M87,E,,flybase
110,7227,FBgn0000890,fs(1)M88,E,,flybase
110,7227,FBgn0000891,fs(1)M89,E,,flybase
110,7227,FBgn0000892,fs(1)M91,E,,flybase
110,7227,FBgn0000893,fs(1)M93,E,,flybase
110,7227,FBgn0000894,fs(1)M94,E,,flybase
110,7227,FBgn0000895,fs(1)M95,E,,flybase
110,7227,FBgn0000896,fs(1)M103,E,,flybase
110,7227,FBgn0000899,fs(1)M108,E,,flybase
110,7227,FBgn0000910,fs(1)M120,E,,flybase
110,7227,FBgn0000911,fs(1)M121,E,,flybase
110,7227,FBgn0000912,fs(1)M122,E,,flybase
110,7227,FBgn0000913,fs(1)MY18,C,,flybase
110,7227,FBgn0000927,fs(1)Ya,C,,flybase
110,7227,FBgn0000928,fs(1)Yb,C,,flybase
110,7227,FBgn0000932,fs(2)A2,E,,flybase
110,7227,FBgn0000941,fs(2)A11,E,,flybase
110,7227,FBgn0000943,fs(2)A13,E,,flybase
110,7227,FBgn0000944,fs(2)A14,E,,flybase
110,7227,FBgn0000964,tj,NE,,flybase
110,7227,FBgn0000988,mama,C,,flybase
110,7227,FBgn0000996,dup,C,,flybase
110,7227,FBgn0001022,fs(3)A13,E,,flybase
110,7227,FBgn0001027,Fs(3)Apc,E,,flybase
110,7227,FBgn0001028,Fs(3)Ava,E,,flybase
110,7227,FBgn0001029,Fs(3)Bak,E,,flybase
110,7227,FBgn0001030,Fs(3)Ber,E,,flybase
110,7227,FBgn0001031,Fs(3)Boj,E,,flybase
110,7227,FBgn0001032,Fs(3)Bot,E,,flybase
110,7227,FBgn0001033,Fs(3)Dam,E,,flybase
110,7227,FBgn0001034,Fs(3)Far,E,,flybase
110,7227,FBgn0001035,fs(3)G2,E,,flybase
110,7227,FBgn0001038,Fs(3)Ger,E,,flybase
110,7227,FBgn0001042,fs(3)HO5B,E,,flybase
110,7227,FBgn0001049,Fs(3)Hod,E,,flybase
110,7227,FBgn0001051,Fs(3)Hub,E,,flybase
110,7227,FBgn0001052,Fs(3)Jut,E,,flybase
110,7227,FBgn0001053,fs(3)K1,E,,flybase
110,7227,FBgn0001054,Fs(3)Kar,E,,flybase
110,7227,FBgn0001056,Fs(3)Kel,E,,flybase
110,7227,FBgn0001057,Fs(3)Kev,E,,flybase
110,7227,FBgn0001058,Fs(3)Kun,E,,flybase
110,7227,FBgn0001060,Fs(3)Lev,E,,flybase
110,7227,FBgn0001061,Fs(3)Pal,E,,flybase
110,7227,FBgn0001062,Fs(3)Pil,E,,flybase
110,7227,FBgn0001063,Fs(3)Pud,E,,flybase
110,7227,FBgn0001064,Fs(3)Ros,E,,flybase
110,7227,FBgn0001066,Fs(3)Tev,E,,flybase
110,7227,FBgn0001068,Fs(3)Ton,E,,flybase
110,7227,FBgn0001069,Fs(3)Var,E,,flybase
110,7227,FBgn0001071,Fs(3)Zer,E,,flybase
110,7227,FBgn0001072,Fs(3)Zol,E,,flybase
110,7227,FBgn0001073,Fs(3)Zom,E,,flybase
110,7227,FBgn0001075,ft,C,,flybase
110,7227,FBgn0001077,ftz,C,,flybase
110,7227,FBgn0001078,ftz-f1,C,,flybase
110,7227,FBgn0001079,fu,C,,flybase
110,7227,FBgn0001083,fw,C,,flybase
110,7227,FBgn0001084,fy,NE,,flybase
110,7227,FBgn0001085,fz,C,,flybase
110,7227,FBgn0001086,fzy,C,,flybase
110,7227,FBgn0001087,g,C,,flybase
110,7227,FBgn0001089,Gal,NE,,flybase
110,7227,FBgn0001090,bnb,E,,flybase
110,7227,FBgn0001091,Gapdh1,NE,,flybase
110,7227,FBgn0001092,Gapdh2,NE,,flybase
110,7227,FBgn0001097,Gull,E,,flybase
110,7227,FBgn0001098,Gdh,NE,,flybase
110,7227,FBgn0001101,ge,NE,,flybase
110,7227,FBgn0001103,gg,E,,flybase
110,7227,FBgn0001104,Galphai,C,,flybase
110,7227,FBgn0001105,Gbeta13F,C,,flybase
110,7227,FBgn0001108,DCTN1-p150,C,,flybase
110,7227,FBgn0001112,Gld,C,,flybase
110,7227,FBgn0001114,Glt,NE,,flybase
110,7227,FBgn0001115,gm,E,,flybase
110,7227,FBgn0001120,gnu,C,,flybase
110,7227,FBgn0001121,Go,E,,flybase
110,7227,FBgn0001122,Galphao,C,,flybase
110,7227,FBgn0001123,Galphas,C,,flybase
110,7227,FBgn0001124,Got1,C,,flybase
110,7227,FBgn0001125,Got2,NE,,flybase
110,7227,FBgn0001128,Gpdh1,C,,flybase
110,7227,FBgn0001131,gr,E,,flybase
110,7227,FBgn0001133,grau,C,,flybase
110,7227,FBgn0001134,Grd,NE,,flybase
110,7227,FBgn0001137,grk,C,,flybase
110,7227,FBgn0001138,grn,E,,flybase
110,7227,FBgn0001139,gro,C,,flybase
110,7227,FBgn0001141,gs,NE,,flybase
110,7227,FBgn0001142,Gs1,C,,flybase
110,7227,FBgn0001145,Gs2,C,,flybase
110,7227,FBgn0001148,gsb,C,,flybase
110,7227,FBgn0001149,GstD1,NE,,flybase
110,7227,FBgn0001150,gt,C,,flybase
110,7227,FBgn0001152,gt-4,E,,flybase
110,7227,FBgn0001153,giantoid,E,,flybase
110,7227,FBgn0001164,gv,C,,flybase
110,7227,FBgn0001165,gvl,NE,,flybase
110,7227,FBgn0001166,gy,NE,,flybase
110,7227,FBgn0001168,h,C,,flybase
110,7227,FBgn0001169,H,C,,flybase
110,7227,FBgn0001170,H2.0,E,,flybase
110,7227,FBgn0001171,ha,NE,,flybase
110,7227,FBgn0001174,halo,NE,,flybase
110,7227,FBgn0001175,hap,E,,flybase
110,7227,FBgn0001177,hat,E,,flybase
110,7227,FBgn0001179,hay,C,,flybase
110,7227,FBgn0001180,hb,C,,flybase
110,7227,FBgn0001185,her,C,,flybase
110,7227,FBgn0001186,Hex-A,C,,flybase
110,7227,FBgn0001187,Hex-C,NE,,flybase
110,7227,FBgn0001189,hfw,C,,flybase
110,7227,FBgn0001193,Hia,NE,,flybase
110,7227,FBgn0001195,His1,E,,flybase
110,7227,FBgn0001196,His2A,E,,flybase
110,7227,FBgn0001197,His2Av,C,,flybase
110,7227,FBgn0001199,His3,E,,flybase
110,7227,FBgn0001202,hook,NE,,flybase
110,7227,FBgn0001206,Hmr,NE,,flybase
110,7227,FBgn0001208,Hn,C,,flybase
110,7227,FBgn0001213,hpa,NE,,flybase
110,7227,FBgn0001215,Hrb98DE,C,,flybase
110,7227,FBgn0001216,Hsc70-1,NE,,flybase
110,7227,FBgn0001217,Hsc70-2,NE,,flybase
110,7227,FBgn0001218,Hsc70-3,C,,flybase
110,7227,FBgn0001220,Hsc70-5,C,,flybase
110,7227,FBgn0001222,Hsf,C,,flybase
