ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
136411,173,83333,b3579,,,NE,,16738554
136412,173,83333,b3578,,,NE,,16738554
136413,173,83333,b3577,,,NE,,16738554
136414,173,83333,b3576,,,NE,,16738554
136415,173,83333,b3575,,,NE,,16738554
136416,173,83333,b3574,,,NE,,16738554
136417,173,83333,b3573,,,NE,,16738554
136418,173,83333,b3572,,,NE,,16738554
136419,173,83333,b3571,,,NE,,16738554
136420,173,83333,b3570,,,NE,,16738554
136421,173,83333,b3569,,,NE,,16738554
136422,173,83333,b3568,,,NE,,16738554
136423,173,83333,b3567,,,NE,,16738554
136424,173,83333,b3566,,,NE,,16738554
136425,173,83333,b3565,,,NE,,16738554
136426,173,83333,b3564,,,NE,,16738554
136427,173,83333,b3563,,,NE,,16738554
136428,173,83333,b3562,,,NE,,16738554
136429,173,83333,b3561,,,NE,,16738554
136430,173,83333,b3560,,,E,,16738554
136431,173,83333,b3559,,,NE,,16738554
136432,173,83333,b3556,,,NE,,16738554
136433,173,83333,b3555,,,NE,,16738554
136434,173,83333,b3554,,,NE,,16738554
136435,173,83333,b3553,,,NE,,16738554
136436,173,83333,b3552,,,NE,,16738554
136437,173,83333,b3551,,,NE,,16738554
136438,173,83333,b3550,,,NE,,16738554
