Q8MRC9	FBgn0050463
Q9VP04	FBgn0037110
Q9VQD2	FBgn0031432
Q7JVP4	FBgn0033155
Q9VPR7	FBgn0031268
Q8MLN5	FBgn0050430
P41126	FBgn0011272
A8DYP0	FBgn0053519
Q9VV71	FBgn0036639
Q9VAE4	FBgn0051036
Q9VWA7	FBgn0052227
Q9VSN7	FBgn0035922
Q9VNE3	FBgn0037347
Q24558	FBgn0015553
P55828	FBgn0019936
Q9Y134	FBgn0001986
Q4QQ70	FBgn0030694
Q9VE49	FBgn0038638
Q9VUZ4	FBgn0036576
Q9VMY1	FBgn0031651
Q9V3I2	FBgn0014010
Q9W2X3	FBgn0040941
P52029	FBgn0003074
A8WHD3	FBgn0035495
Q9VS89	FBgn0035798
Q7JVY0	FBgn0265935
Q8MT36	FBgn0039559
A1Z803	FBgn0033451
P82711	FBgn0033979
Q9VEH1	FBgn0000063
Q9VUZ1	FBgn0266724
P28166	FBgn0004606
Q24114	FBgn0263930
Q9VA80	FBgn0039766
Q9VPI9	FBgn0031216
P16548	FBgn0002863
Q960J9	FBgn0052633
Q9VVR0	FBgn0036799
Q9W4V3	FBgn0029639
Q9VFF0	FBgn0038271
P46824	FBgn0010235
Q9VTU2	FBgn0011455
Q9VR83	FBgn0031100
Q9W060	FBgn0265988
Q8T9F0	FBgn0034172
Q9V6U8	FBgn0263697
Q7PL26	FBgn0267861
Q7JQT8	FBgn0033122
A1Z783	FBgn0033244
O97183	FBgn0026373
Q9VIV2	FBgn0002044
Q8T5S9	FBgn0050021
Q9VSU3	FBgn0040827
Q9VFA2	FBgn0038312
Q9VHY5	FBgn0024909
Q9VXN2	FBgn0014391
Q9W2I6	FBgn0034611
Q9VDK2	FBgn0038815
Q9VZU4	FBgn0266582
A1ZAI5	FBgn0034145
Q9VXL1	FBgn0259110
Q9VWF2	FBgn0087008
Q9VUK9	FBgn0266441
Q9VVI3	FBgn0259174
Q9VW73	FBgn0036932
Q9VT57	FBgn0015618
A1Z8H6	FBgn0033602
Q9W474	FBgn0261610
Q9VRL0	FBgn0035600
Q9V359	FBgn0021814
Q9VRY6	FBgn0035715
Q9VNX1	FBgn0037141
Q9VMT4	FBgn0031690
Q7KQM6	FBgn0039936
Q9V477	FBgn0029114
Q9VDS3	FBgn0038749
